[0.000000] (-) TimerEvent: {}
[0.000256] (-) JobUnselected: {'identifier': 'ax12a_arm_controller'}
[0.000285] (-) JobUnselected: {'identifier': 'interbotix_ros_xsarms'}
[0.000306] (-) JobUnselected: {'identifier': 'interbotix_ros_xsarms_examples'}
[0.000325] (-) JobUnselected: {'identifier': 'interbotix_xsarm_control'}
[0.000352] (-) JobUnselected: {'identifier': 'interbotix_xsarm_descriptions'}
[0.000412] (-) JobUnselected: {'identifier': 'interbotix_xsarm_dual'}
[0.000436] (-) JobUnselected: {'identifier': 'interbotix_xsarm_gravity_compensation'}
[0.000471] (-) JobUnselected: {'identifier': 'interbotix_xsarm_joy'}
[0.000490] (-) JobUnselected: {'identifier': 'interbotix_xsarm_moveit'}
[0.000508] (-) JobUnselected: {'identifier': 'interbotix_xsarm_moveit_interface'}
[0.000527] (-) JobUnselected: {'identifier': 'interbotix_xsarm_puppet'}
[0.000554] (-) JobUnselected: {'identifier': 'interbotix_xsarm_ros_control'}
[0.000572] (-) JobUnselected: {'identifier': 'interbotix_xsarm_sim'}
[0.000590] (-) JobUnselected: {'identifier': 'iqr_tb4_bringup'}
[0.000608] (-) JobUnselected: {'identifier': 'iqr_tb4_description'}
[0.000638] (-) JobUnselected: {'identifier': 'iqr_tb4_navigation'}
[0.000655] (-) JobUnselected: {'identifier': 'pan_tilt_bringup'}
[0.000673] (-) JobUnselected: {'identifier': 'pan_tilt_description'}
[0.000691] (-) JobUnselected: {'identifier': 'pan_tilt_driver'}
[0.000712] (-) JobUnselected: {'identifier': 'pan_tilt_msgs'}
[0.000730] (-) JobUnselected: {'identifier': 'realsense2_camera'}
[0.000748] (-) JobUnselected: {'identifier': 'realsense2_camera_msgs'}
[0.000765] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.000783] (-) JobUnselected: {'identifier': 'ros2_aruco'}
[0.000801] (-) JobUnselected: {'identifier': 'ros2_aruco_interfaces'}
[0.000819] (-) JobUnselected: {'identifier': 'turtlebot3'}
[0.000836] (-) JobUnselected: {'identifier': 'turtlebot3_bringup'}
[0.000854] (-) JobUnselected: {'identifier': 'turtlebot3_cartographer'}
[0.000871] (-) JobUnselected: {'identifier': 'turtlebot3_description'}
[0.000889] (-) JobUnselected: {'identifier': 'turtlebot3_example'}
[0.000906] (-) JobUnselected: {'identifier': 'turtlebot3_navigation2'}
[0.000924] (-) JobUnselected: {'identifier': 'turtlebot3_node'}
[0.000942] (-) JobUnselected: {'identifier': 'turtlebot3_teleop'}
[0.000960] (-) JobUnselected: {'identifier': 'witmotion_ros_driver'}
[0.000978] (-) JobUnselected: {'identifier': 'yolov10_inference'}
[0.001120] (-) EventReactorShutdown: {}
